Date,Democrat,Republican,Mode,538 Rating,Sample Subpopulation,MoE,Sponsor,Source
2/7/2018,0.49,0.38,Live Phone,,Registered Voters,4.1,,Marist
2/6/2018,0.43,0.37,Internet,B,Adults,3.3,Economist,YouGov
2/6/2018,0.38,0.31,Internet,A-,Adults,2,Reuters,Ipsos
2/6/2018,0.49,0.4,Live Phone,A-,Registered Voters,3.3,,Quinnipiac
1/30/2018,0.47,0.45,Live Phone,A+,Adults,3.5,,Monmouth
1/23/2018,0.38,0.3,Live Phone,A-,Adults,2,Reuters,Ipsos
1/23/2018,0.51,0.38,Live Phone,A-,Registered Voters,3.3,,Quinnipiac
1/23/2018,0.41,0.37,Internet,B,Registered Voters,3.1,Economist,YouGov
1/23/2018,0.44,0.38,Live Phone,A,Registered Voters,,Fox News,Anderson Robbins Research and Shaw & Company Research
1/18/2018,0.49,0.44,Live Phone,A-,Registered Voters,3.8,,CNN
1/18/2018,0.51,0.39,Live Phone,B,Registered Voters,3.5,ABC News,Washington Post
1/17/2018,0.49,0.43,Live Phone,A-,Registered Voters,3.5,NBC News,WSJ
1/16/2018,0.37,0.32,Internet,A-,Adults,2.8,Reuters,Ipsos
12/7/2017,0.5,0.37,Live Phone,A,Adults,2.8,,Marist
12/5/2017,0.37,0.31,Internet,A-,Adults,,Reuters,Ipsos
12/5/2017,0.42,0.36,Internet,B,Adults,3.4,Economist,YouGov
11/29/2017,0.5,0.36,Live Phone,A-,Registered Voters,3.1,,Quinnipiac
11/28/2017,0.36,0.3,Internet,A-,Adults,,Reuters,Ipsos
11/28/2017,0.41,0.35,Internet,B,Registered Voters,3.1,Economist,YouGov
11/22/2017,0.37,0.28,,A-,Adults,,Reuters,Ipsos
11/21/2017,0.42,0.33,Internet,B,Registered Voters,,Economist,YouGov
11/15/2017,0.43,0.4,Live Phone,A,Adults,3.1,NPR/PBS,Marist
11/14/2017,0.38,0.31,Internet,A-,Adults,,,Reuters/Ipsos
11/14/2017,0.42,0.34,Internet,B,Registered Voters,3.1,Economist,YouGov
11/13/2017,0.51,0.38,Live Phone,A-,Registered Voters,3,,Quinnipiac
11/9/2017,0.51,0.36,Live Phone,A,Registered Voters,3,,Marist
11/7/2017,0.4,0.33,Internet,B,Registered Voters,3.1,Economist,YouGov
11/1/2017,0.51,0.4,Live Phone,B,Adults,3.5,ABC News,Washington Post
11/1/2017,0.4,0.31,Internet,A-,Adults,2.6,Reuters,Ipsos
11/1/2017,0.39,0.36,Internet,B,Registered Voters,3.1,Economist,YouGov
10/30/2017,0.48,0.41,Live Phone,A-,Registered Voters,3.6,NBC News,WSJ
10/25/2017,0.5,0.35,Live Phone,A,Registered Voters,3,Fox News,Anderson Robbins Research and Shaw & Company Research
10/25/2017,0.4,0.33,Internet,B,Registered Voters,3.1,Economist,YouGov
10/25/2017,0.36,0.28,Internet,A-,Registered Voters,,Reuters,Ipsos
10/17/2017,0.41,0.33,Internet,B,Registered Voters,,Economist,YouGov
10/11/2017,0.4,0.33,Internet,B,Registered Voters,3.1,Economist,YouGov
10/4/2017,0.39,0.32,Internet,B,Registered Voters,3.1,Economist,YouGov
9/28/2017,0.4,0.34,Live Phone,B+,Registered Voters,3.3,,Public Policy Polling (D)
9/27/2017,0.4,0.34,Internet,B,Registered Voters,,Economist,YouGov
9/21/2017,0.48,0.42,Phone,A-,Registered Voters,3.6,NBC News,WSJ
9/20/2017,0.39,0.33,Internet,B,Registered Voters,3.1,Economist,YouGov
9/13/2017,0.4,0.31,Internet,B,Registered Voters,3.2,Economist,Yougov
9/6/2017,0.39,0.33,Internet,B,Registered Voters,3.1,Economist,YouGov
8/30/2017,0.4,0.32,Internet,B,Registered Voters,3.1,Economist,YouGov
8/24/2017,0.45,0.38,Live Phone,B,Registered Voters,3.1,George Washington University,The Tarrance Group/Lake Research Partners
8/23/2017,0.39,0.33,Internet,B,Adults,3.2,Economist,YouGov
8/23/2017,0.49,0.35,Internet,B+,Registered Voters ,3.3,,Public Policy Polling (D)
8/16/2017,0.41,0.33,Internet,B,Registered Voters,3.2,Economist,YouGov
8/15/2017,0.48,0.396,Live Phone,A,Registered Voters,3.1,,The Marist Poll
8/10/2017,0.51,0.42,Live Phone,,Registered Voters,,CNN,SSRS
7/25/2017,0.4,0.34,Internet,B,Registered Voters,3.1,Economist,YouGov
7/18/2017,0.478,0.388,Internet,,Registered Voters,,Economist,YouGov
7/13/2017,0.52,0.38,Live Phone,B,Registered Voters,3.2,ABC,Washington Post
7/4/2017,0.37,0.35,Internet,B,Adults,4,Economist,YouGov
6/27/2017,0.47,0.41,Live Phone,A,Registered Voters,3,Fox News,Anderson Robbins Research and Shaw & Company Research
6/27/2017,0.41,0.35,Internet,B,Adults,3.1,Economist,YouGov
6/25/2017,0.48,0.38,Live Phone,B-,Adults,3.2,PBS News Hour,NPR
6/20/2017,0.5,0.42,Live Phone,A-,Adults,3.54,NBC News,WSJ
6/20/2017,0.38,0.35,Internet,B,Adults,3.1,Economist,YouGov
6/13/2017,0.38,0.36,Internet,B,Registered Voters,nan,Economist,YouGov
